Time,Temperature
2025-05-07T00:00,6.8
2025-05-07T01:00,5.4
2025-05-07T02:00,4.2
2025-05-07T03:00,3.3
2025-05-07T04:00,3.2
2025-05-07T05:00,4.0
2025-05-07T06:00,5.4
2025-05-07T07:00,6.5
2025-05-07T08:00,7.9
2025-05-07T09:00,10.0
2025-05-07T10:00,11.0
2025-05-07T11:00,11.8
2025-05-07T12:00,11.6
2025-05-07T13:00,12.0
2025-05-07T14:00,11.9
2025-05-07T15:00,11.9
2025-05-07T16:00,11.3
2025-05-07T17:00,10.8
2025-05-07T18:00,9.7
2025-05-07T19:00,8.3
2025-05-07T20:00,7.0
2025-05-07T21:00,5.4
2025-05-07T22:00,4.3
2025-05-07T23:00,3.8
2025-05-08T00:00,3.3
2025-05-08T01:00,2.8
2025-05-08T02:00,2.2
2025-05-08T03:00,2.2
2025-05-08T04:00,1.7
2025-05-08T05:00,3.0
2025-05-08T06:00,4.3
2025-05-08T07:00,5.5
2025-05-08T08:00,6.7
2025-05-08T09:00,7.7
2025-05-08T10:00,8.8
2025-05-08T11:00,9.8
2025-05-08T12:00,10.5
2025-05-08T13:00,10.9
2025-05-08T14:00,11.3
2025-05-08T15:00,11.3
2025-05-08T16:00,10.9
2025-05-08T17:00,10.4
2025-05-08T18:00,9.1
2025-05-08T19:00,7.2
2025-05-08T20:00,6.1
2025-05-08T21:00,5.7
2025-05-08T22:00,5.0
2025-05-08T23:00,4.1
